StockInvestedin|Sector|SectorTotal|Value(Mn)|%ofTotalHoldings|1MChange|1YHighestHolding|1YLowestHolding|Quantity|1MChangeinQty|M-Cap|GroupName|funaname|date
DhanukaAgritechLtd.|Pesticidesandagrochemicals|0.77|503.4|0.77|0.17%|0.77%(May2020)|0.38%(Nov2019)|8.74L|0.00|SmallCap|12.08|dsp-mid-cap-fund-direct-plan|29-06-2020
SterliteTechnologiesLtd.|Telecom-cables|0.64|414.8|0.64|0.04%|0.79%(Sep2019)|0.39%(Feb2020)|43.41L|0.00|SmallCap|12.08|dsp-mid-cap-fund-direct-plan|29-06-2020
VardhmanTextilesLtd.|Spinning-cotton/blended|0.62|400.3|0.62|0.01%|1.02%(Jun2019)|0.61%(Apr2020)|6.09L|0.00|SmallCap|12.08|dsp-mid-cap-fund-direct-plan|29-06-2020
RepcoHomeFinanceLtd.|Housingfinance|0.16|104.1|0.16|-0.06%|0.68%(Jun2019)|0.16%(May2020)|11.28L|0.00|SmallCap|12.08|dsp-mid-cap-fund-direct-plan|29-06-2020
PennarIndustriesLtd.|Steelproducts|0.04|26.8|0.04|-0.03%|0.22%(Jun2019)|0.04%(May2020)|17.88L|-6.56L|SmallCap|12.08|dsp-mid-cap-fund-direct-plan|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|6.2|2940.5|6.14|0.07%|6.14%(May2020)|2.6%(Aug2019)|20.08L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
HDFCBankLtd.|Banks|15.96|2775|5.79|-0.34%|7.19%(Sep2019)|5.77%(Jul2019)|29.16L|-0.50L|Other|11.27|canara-robeco-emerging-equities-direct-plan|29-06-2020
ICICIBankLtd.|Banks|15.96|2289.8|4.78|-0.08%|6.47%(Jul2019)|4.78%(May2020)|68.98L|7.00L|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
BhartiAirtelLtd.|Telecom-services|3.22|1541.6|3.22|0.47%|3.22%(May2020)|1.11%(Sep2019)|27.90L|2.00L|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
AtulLtd.|Chemicals-speciality|2.89|1383.8|2.89|0.12%|2.89%(May2020)|1.79%(Aug2019)|3.07L|30.00k|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
AxisBankLtd.|Banks|15.96|1313.9|2.74|0.52%|5.05%(Oct2019)|2.22%(Apr2020)|34.13L|10.00L|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
InfosysLtd.|Computers-software|6.46|1292.2|2.70|-0.06%|3.39%(Mar2020)|2.17%(Jul2019)|18.70L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
AvenueSupermartsLtd.|Retailing|4.09|1251.5|2.61|-0.10%|2.84%(Mar2020)|0%(Jun2019)|5.51L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
#HindustanUnileverLtd.|Diversified|2.58|1234.4|2.58|2.58%|2.58%(May2020)|0%(Jun2019)|6.00L|6.00L|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
IpcaLaboratoriesLtd.|Pharmaceuticals|7.78|1165.7|2.43|-0.46%|2.89%(Apr2020)|1.46%(Jun2019)|7.80L|-0.85L|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
BalkrishnaIndustriesLtd.|Tyres&allied|2.41|1155.6|2.41|0.34%|2.41%(May2020)|1.42%(Jul2019)|10.71L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
GujaratGasLtd.|Gastransmission/marketing|2.19|1046.8|2.19|-0.14%|2.36%(Mar2020)|1.04%(Jun2019)|43.52L|0.00|Other|11.27|canara-robeco-emerging-equities-direct-plan|29-06-2020
DivisLaboratoriesLtd.|Pharmaceuticals|7.78|1032.5|2.16|0.08%|2.4%(Jul2019)|1.74%(Nov2019)|4.32L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
WhirlpoolOfIndiaLtd.|Homeappliances|2.12|1014|2.12|-0.10%|2.23%(Mar2020)|1.54%(Jun2019)|5.21L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
AlkemLaboratoriesLtd.|Hospital|2.09|1000.1|2.09|-0.06%|2.27%(Mar2020)|0%(Jun2019)|4.42L|40.99k|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
Larsen&ToubroInfotechLtd.|Computers-software|6.46|980.9|2.05|0.21%|2.05%(May2020)|0.91%(Sep2019)|5.45L|-0.15L|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
HousingDevelopmentFinanceCorporationLtd.|Housingfinance|1.96|940.6|1.96|-0.28%|3.02%(Nov2019)|0%(Jun2019)|5.67L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
TitanCompanyLtd.|Gems,jewelleryandwatches|1.93|923.8|1.93|-0.15%|2.44%(Mar2020)|0%(Jun2019)|10.38L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
AbbottIndiaLtd.|Pharmaceuticals|7.78|899.9|1.88|-0.09%|2.25%(Mar2020)|0%(Jun2019)|53.81k|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
KotakMahindraBankLtd.|Banks|15.96|866.4|1.81|-0.73%|3.76%(Mar2020)|1.81%(May2020)|7.08L|-2.00L|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
NavinFlourineInternationalLtd.|Chemicals-inorganic|1.78|853.5|1.78|0.01%|1.78%(May2020)|0.64%(Sep2019)|5.45L|0.00|SmallCap|6.42|canara-robeco-emerging-equities-direct-plan|29-06-2020
VoltasLimited|Engineering,designing,construction|3.25|850.4|1.78|-0.07%|2.19%(Nov2019)|1.44%(Jun2019)|17.71L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
HoneywellAutomationIndiaLtd.|Industrialelectronics|1.75|839.3|1.75|-0.09%|2.03%(Mar2020)|1%(Jun2019)|31.07k|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
IndraprasthaGasLtd.|Lpg/cng/png/lngsupplier|1.74|831.2|1.74|-0.09%|1.83%(Apr2020)|0.93%(Jun2019)|17.61L|-1.00L|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
BajajFinanceLtd.|Nbfc|3.51|826.4|1.73|-0.29%|2.74%(Feb2020)|0%(Jun2019)|4.23L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
TataConsultancyServicesLtd.|Computers-software|6.46|818.5|1.71|-0.02%|2.08%(Sep2019)|1.36%(Feb2020)|4.15L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
BritanniaIndustriesLtd.|Consumerfood|3.2|804.2|1.68|-0.27%|2.07%(Mar2020)|1.12%(Nov2019)|2.38L|-0.60L|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
AIAEngineeringLtd.|Castings/forgings|2.68|794.4|1.66|0.08%|1.68%(Sep2019)|1.33%(Aug2019)|4.77L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
JubilantFoodworksLtd.|Consumerfood|3.2|727.2|1.52|-0.22%|2.21%(Jan2020)|0%(Jun2019)|4.39L|-0.84L|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
TataConsumerProductsLtd.|Tea&coffee|1.52|726.5|1.52|0.52%|1.52%(May2020)|0%(Jun2019)|19.80L|6.00L|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
AdityaBirlaFashionandRetailLtd.|Retailing|4.09|708.2|1.48|0.07%|2.08%(Feb2020)|1.18%(Jun2019)|59.07L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|3.25|705.7|1.47|0.07%|4.16%(Jun2019)|1.06%(Mar2020)|7.57L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
ICICILombardGeneralInsuranceCoLtd.|Insurance|1.43|684.2|1.43|-0.06%|1.54%(Mar2020)|0%(Jun2019)|5.26L|-0.35L|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
MindaIndustriesLtd.|Autoancillaries|1.37|655.7|1.37|-0.03%|1.51%(Jan2020)|1.16%(Jul2019)|22.64L|0.00|SmallCap|6.42|canara-robeco-emerging-equities-direct-plan|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|1.35|645.2|1.35|0.08%|1.35%(May2020)|0%(Jun2019)|1.15L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
UltratechCementLtd.|Cement|3.01|644.3|1.35|0.15%|1.35%(May2020)|0%(Jun2019)|1.65L|0.00|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
SyngeneInternationalLtd.|Pharmaceuticals|7.78|626.3|1.31|0.28%|1.31%(May2020)|0.83%(Feb2020)|17.54L|2.00L|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
DR.LALPATHLABSLtd.|Healthcareserviceproviders|1.26|601.7|1.26|-0.02%|1.28%(Apr2020)|0%(Jun2019)|3.93L|0.00|SmallCap|6.42|canara-robeco-emerging-equities-direct-plan|29-06-2020
MultiCommodityExchangeOfIndiaLtd.|Otherfinancialservices|1.18|564.4|1.18|0.24%|1.18%(May2020)|0%(Jun2019)|4.25L|0.00|SmallCap|6.42|canara-robeco-emerging-equities-direct-plan|29-06-2020
IndianRailwayCateringandTourismCorporationLtd.|Diversifiedservices|1.11|531.7|1.11|-0.06%|2.35%(Jan2020)|0%(Jun2019)|3.77L|-0.50L|Other|11.27|canara-robeco-emerging-equities-direct-plan|29-06-2020
UnitedSpiritsLtd.|Brew/distilleries|1.02|489.5|1.02|-0.61%|1.68%(Mar2020)|0%(Jun2019)|8.24L|-6.51L|LargeCap|44.37|canara-robeco-emerging-equities-direct-plan|29-06-2020
BharatForgeLtd.|Castings/forgings|2.68|487.6|1.02|0.07%|1.07%(Feb2020)|0.73%(Mar2020)|14.95L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
SBICardsandPaymentServicesLtd.|Nbfc|3.51|431.1|0.90|-0.09%|1.16%(Mar2020)|0%(Jun2019)|8.00L|0.00|Other|11.27|canara-robeco-emerging-equities-direct-plan|29-06-2020
TheRamcoCementsLtd.|Cement|3.01|426.4|0.89|0.08%|1.5%(Jul2019)|0.81%(Apr2020)|7.06L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
CholamandalamInvestment&FinanceCo.Ltd.|Nbfc|3.51|420.8|0.88|-0.10%|2.2%(Jan2020)|0%(Jun2019)|29.70L|0.00|Other|11.27|canara-robeco-emerging-equities-direct-plan|29-06-2020
KansaiNerolacPaintsLtd.|Paints|0.79|380.4|0.79|0.23%|0.79%(May2020)|0%(Jun2019)|10.46L|3.85L|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
BataIndiaLtd.|Leatherandleatherproducts|0.79|380.4|0.79|-0.02%|0.81%(Apr2020)|0%(Jun2019)|2.87L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
CenturyTextile&IndustriesLtd.|Cement|3.01|370.4|0.77|-0.01%|1.49%(Jul2019)|0.74%(Dec2019)|12.97L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
CityUnionBankLtd.|Banks|15.96|303.1|0.63|-0.04%|2.23%(Dec2019)|0.63%(May2020)|22.35L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
TCIExpressLtd.|Logisticssolutionprovider|0.83|244.3|0.51|-0.04%|0.6%(Jan2020)|0.46%(Jul2019)|3.79L|0.00|SmallCap|6.42|canara-robeco-emerging-equities-direct-plan|29-06-2020
ISGECHeavyEngineeringLtd.|Industrialequipment|0.34|164.1|0.34|-0.04%|0.69%(Jun2019)|0.34%(May2020)|7.47L|0.00|Other|11.27|canara-robeco-emerging-equities-direct-plan|29-06-2020
TransportCorporationOfIndiaLtd.|Logisticssolutionprovider|0.83|151.8|0.32|-0.03%|0.63%(Jun2019)|0.32%(May2020)|9.92L|0.00|SmallCap|6.42|canara-robeco-emerging-equities-direct-plan|29-06-2020
AuSmallFinanceBankLtd.|Banks|15.96|101.9|0.21|-0.08%|2.02%(Feb2020)|0%(Jun2019)|2.60L|0.00|MidCap|33.73|canara-robeco-emerging-equities-direct-plan|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|6.2|29.7|0.06|0.06%|0.06%(May2020)|0%(Jun2019)|1.34L|1.34L|Other|11.27|canara-robeco-emerging-equities-direct-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|11.85|70.7|8.27|0.41%|9.96%(Jun2019)|6.74%(Mar2020)|75.80k|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
BhartiAirtelLtd.|Telecom-services|8.09|69.1|8.09|0.66%|8.09%(May2020)|2.88%(Jun2019)|1.25L|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|8.7|52.4|6.14|0.08%|6.14%(May2020)|0%(Jun2019)|35.80k|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
UltratechCementLtd.|Cement|10.94|45.7|5.35|0.57%|5.35%(May2020)|2.19%(Jun2019)|11.70k|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
PowerGridCorporationofIndiaLtd.|Power-transmission|4.6|39.3|4.60|-0.07%|5.18%(Mar2020)|4.2%(Jan2020)|2.50L|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
ICICIBankLtd.|Banks|5.8|38|4.45|-0.58%|9.12%(Dec2019)|4.45%(May2020)|1.15L|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
NationalThermalPowerCorporationLtd.|Power|4.31|36.9|4.31|0.17%|5.18%(Jun2019)|3.37%(Jul2019)|3.77L|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
PetronetLNGLtd.|Lpg/cng/png/lngsupplier|4.19|35.8|4.19|0.21%|4.19%(May2020)|1.71%(Jun2019)|1.42L|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
HoneywellAutomationIndiaLtd.|Industrialelectronics|6.37|35.7|4.17|-1.19%|5.48%(Mar2020)|0%(Jun2019)|1.32k|-0.30k|MidCap|19.89|canara-robeco-infrastructure|29-06-2020
GujaratStatePetronetLtd.|Gastransmission/marketing|6.9|29.6|3.47|-0.12%|3.59%(Apr2020)|0%(Jun2019)|1.50L|0.00|MidCap|19.89|canara-robeco-infrastructure|29-06-2020
GujaratGasLtd.|Gastransmission/marketing|6.9|29.3|3.43|-0.22%|4.19%(Dec2019)|2.36%(Jun2019)|1.22L|0.00|Other|5.26|canara-robeco-infrastructure|29-06-2020
TCIExpressLtd.|Logisticssolutionprovider|5.41|28.5|3.34|0.14%|4.2%(Feb2020)|2.64%(Jul2019)|44.24k|5.00k|SmallCap|16.42|canara-robeco-infrastructure|29-06-2020
SiemensLtd.|Powerequipment|3.06|26.1|3.06|0.56%|3.2%(Jun2019)|0%(Jun2019)|24.00k|5.00k|LargeCap|55|canara-robeco-infrastructure|29-06-2020
TheRamcoCementsLtd.|Cement|10.94|24.8|2.90|0.28%|3.05%(Feb2020)|2.32%(Jun2019)|41.00k|0.00|MidCap|19.89|canara-robeco-infrastructure|29-06-2020
DixonTechnologies(India)Ltd.|Consumerelctronics|2.85|24.4|2.85|0.21%|2.85%(May2020)|0%(Jun2019)|5.00k|0.00|SmallCap|16.42|canara-robeco-infrastructure|29-06-2020
AIAEngineeringLtd.|Castings/forgings|2.77|23.6|2.77|0.13%|2.77%(May2020)|1.34%(Jun2019)|14.21k|0.00|MidCap|19.89|canara-robeco-infrastructure|29-06-2020
ShreeCementLtd.|Cement|10.94|22.9|2.69|0.18%|3.03%(Nov2019)|0%(Jun2019)|1.10k|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
HindustanPetroleumCorporationLtd.|Refineries/marketing|8.7|21.4|2.50|-0.30%|2.8%(Apr2020)|1.8%(Jul2019)|1.10L|0.00|LargeCap|55|canara-robeco-infrastructure|29-06-2020
ThermaxLtd.|Industrialequipment|3.39|20.1|2.36|-0.01%|2.84%(Sep2019)|2.36%(May2020)|28.33k|0.00|MidCap|19.89|canara-robeco-infrastructure|29-06-2020
KNRConstructions|Constructioncivil|4.98|19.1|2.23|-0.08%|2.57%(Jan2020)|0%(Jun2019)|94.94k|0.00|SmallCap|16.42|canara-robeco-infrastructure|29-06-2020
BharatElectronicsLtd.|Industrialelectronics|6.37|18.8|2.20|-0.06%|2.63%(Mar2020)|0%(Jun2019)|2.71L|0.00|MidCap|19.89|canara-robeco-infrastructure|29-06-2020
TransportCorporationOfIndiaLtd.|Logisticssolutionprovider|5.41|17.7|2.07|-0.21%|3.14%(Sep2019)|2.07%(May2020)|1.15L|0.00|SmallCap|16.42|canara-robeco-infrastructure|29-06-2020
VoltasLimited|Engineering,designing,construction|11.85|17.3|2.02|-0.08%|2.36%(Feb2020)|0%(Jun2019)|36.00k|0.00|MidCap|19.89|canara-robeco-infrastructure|29-06-2020
KsbPumpsLtd.|Compressors/pumps|1.62|13.9|1.62|-0.08%|2%(Jan2020)|1.62%(May2020)|30.00k|0.00|SmallCap|16.42|canara-robeco-infrastructure|29-06-2020
EngineersIndiaLtd.|Engineering,designing,construction|11.85|13.3|1.56|-0.07%|2.21%(Oct2019)|1.42%(Feb2020)|2.10L|0.00|SmallCap|16.42|canara-robeco-infrastructure|29-06-2020
AhluwaliaContracts(India)Ltd.|Constructioncivil|4.98|12.9|1.51|-0.13%|2.61%(Feb2020)|1.51%(May2020)|77.27k|0.00|SmallCap|16.42|canara-robeco-infrastructure|29-06-2020
#AxisBankLtd.|Banks|5.8|11.6|1.35|1.35%|4.22%(Jun2019)|0%(Jun2019)|30.00k|30.00k|LargeCap|55|canara-robeco-infrastructure|29-06-2020
PNCInfratechLtd.|Constructioncivil|4.98|10.6|1.24|-0.23%|2.14%(Jun2019)|1.23%(Mar2020)|1.00L|0.00|SmallCap|16.42|canara-robeco-infrastructure|29-06-2020
ISGECHeavyEngineeringLtd.|Industrialequipment|3.39|8.8|1.03|-0.12%|1.56%(Nov2019)|1.03%(May2020)|40.00k|0.00|Other|5.26|canara-robeco-infrastructure|29-06-2020
IndianRailwayCateringandTourismCorporationLtd.|Diversifiedservices|0.74|6.4|0.74|0.05%|3.28%(Feb2020)|0%(Jun2019)|4.50k|0.00|Other|5.26|canara-robeco-infrastructure|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|8.7|0.5|0.06|0.06%|0.06%(May2020)|0%(Jun2019)|2.39k|2.39k|Other|5.26|canara-robeco-infrastructure|29-06-2020
HDFCBankLtd.|Banks|19.32|364.2|7.96|-0.13%|9.61%(Oct2019)|7.91%(Mar2020)|3.83L|45.00k|Other|9.31|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|7.6|344.5|7.53|-0.19%|7.72%(Apr2020)|3.8%(Sep2019)|2.35L|15.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
InfosysLtd.|Computers-software|9.69|262.3|5.74|0.29%|5.74%(May2020)|4.12%(Jul2019)|3.80L|61.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
ICICIBankLtd.|Banks|19.32|239.2|5.23|-0.96%|8.31%(Nov2019)|5.23%(May2020)|7.21L|40.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
HindustanUnileverLtd.|Diversified|4.44|203.3|4.44|1.46%|4.56%(Oct2019)|2.98%(Apr2020)|98.80k|42.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
KotakMahindraBankLtd.|Banks|19.32|195.5|4.28|1.20%|5.45%(Sep2019)|3.08%(Apr2020)|1.60L|65.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
BhartiAirtelLtd.|Telecom-services|4.2|192.1|4.20|0.35%|4.2%(May2020)|1.4%(Dec2019)|3.48L|35.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
HousingDevelopmentFinanceCorporationLtd.|Housingfinance|3.57|163.3|3.57|-1.26%|5.49%(Dec2019)|3.57%(May2020)|98.45k|-7.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
TataConsultancyServicesLtd.|Computers-software|9.69|134.2|2.93|-0.11%|4.13%(Aug2019)|2.12%(Jul2019)|68.05k|5.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
DivisLaboratoriesLtd.|Pharmaceuticals|6.55|116.2|2.54|-0.03%|2.74%(Mar2020)|2.05%(Jun2019)|48.60k|2.50k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|3.76|108.9|2.38|0.05%|2.38%(May2020)|1.06%(Jul2019)|19.40k|1.20k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
Dr.ReddysLaboratoriesLtd.|Pharmaceuticals|6.55|103.4|2.26|-0.02%|2.28%(Apr2020)|0.96%(Dec2019)|25.40k|1.20k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|3.31|101.3|2.22|-0.08%|6.84%(Jun2019)|1.5%(Mar2020)|1.09L|1.54k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
UltratechCementLtd.|Cement|3.62|100.2|2.19|0.19%|2.97%(Aug2019)|1.4%(Jun2019)|25.65k|2.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
AsianPaints(india)Ltd.|Paints|3.51|95.3|2.08|0.18%|2.45%(Jul2019)|1.31%(Jan2020)|56.60k|11.50k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
AvenueSupermartsLtd.|Retailing|2|91.5|2.00|-0.30%|2.68%(Feb2020)|0%(Jun2019)|40.30k|0.00|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
AxisBankLtd.|Banks|19.32|84.4|1.85|-0.43%|4.67%(Jun2019)|1.85%(May2020)|2.19L|5.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
ITCLimited|Cigarettes|1.79|82|1.79|-0.02%|4.01%(Jul2019)|1.39%(Dec2019)|4.16L|0.00|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
AlkemLaboratoriesLtd.|Hospital|1.79|81.9|1.79|-0.21%|2%(Apr2020)|0%(Jun2019)|36.21k|4.00k|MidCap|10.18|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
BajajFinanceLtd.|Nbfc|1.76|80.5|1.76|-0.25%|4.19%(Jan2020)|0%(Jun2019)|41.20k|5.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
AbbottIndiaLtd.|Pharmaceuticals|6.55|80|1.75|-0.28%|2.57%(Jun2019)|1.75%(May2020)|4.79k|0.00|MidCap|10.18|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
HeroMotocorpLtd.|Motorcycles/scooters|1.65|75.6|1.65|0.09%|1.65%(May2020)|0%(Jun2019)|32.00k|2.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
DaburIndiaLtd.|Personalcare|1.54|70.3|1.54|-0.05%|1.82%(Mar2020)|0%(Jun2019)|1.51L|15.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
PetronetLNGLtd.|Lpg/cng/png/lngsupplier|2.5|69.7|1.52|0.26%|2.21%(Aug2019)|0%(Jun2019)|2.76L|60.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
ICICILombardGeneralInsuranceCoLtd.|Insurance|1.5|68.7|1.50|0.12%|1.6%(Mar2020)|0%(Jun2019)|52.79k|8.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
KansaiNerolacPaintsLtd.|Paints|3.51|65.5|1.43|0.19%|1.43%(May2020)|0%(Jun2019)|1.80L|55.00k|MidCap|10.18|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
ShreeCementLtd.|Cement|3.62|65.2|1.43|-0.05%|1.95%(Nov2019)|0%(Jun2019)|3.13k|0.00|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
BritanniaIndustriesLtd.|Consumerfood|3.75|64.5|1.41|-0.15%|1.97%(Mar2020)|0%(Jun2019)|19.09k|-1.50k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
Mahindra&MahindraLtd.|Passenger/utilityvehicles|3.76|63.3|1.38|0.59%|1.38%(May2020)|0%(Jun2019)|1.45L|55.00k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
#TechMahindraLtd.|Software-telecom|1.31|59.9|1.31|1.31%|1.31%(May2020)|0%(Jun2019)|1.13L|1.13L|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
HDFCAssetManagementCo.Ltd.|Investmentcompanies|1.3|59.3|1.30|-0.12%|1.42%(Apr2020)|0%(Jun2019)|23.50k|0.00|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
GujaratGasLtd.|Gastransmission/marketing|1.28|58.5|1.28|0.11%|2.09%(Jun2019)|1.17%(Apr2020)|2.43L|55.00k|Other|9.31|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
JubilantFoodworksLtd.|Consumerfood|3.75|56.3|1.23|-0.14%|1.4%(Oct2019)|0%(Jun2019)|34.00k|-1.50k|MidCap|10.18|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
#NestleIndiaLtd.|Consumerfood|3.75|50.9|1.11|1.11%|1.94%(Aug2019)|0%(Jun2019)|2.90k|2.90k|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
VoltasLimited|Engineering,designing,construction|3.31|50|1.09|-0.17%|2.07%(Aug2019)|1.09%(May2020)|1.04L|0.00|MidCap|10.18|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
Larsen&ToubroInfotechLtd.|Computers-software|9.69|46.5|1.02|-0.38%|1.4%(Apr2020)|0%(Jun2019)|25.82k|-0.11L|MidCap|10.18|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
IndraprasthaGasLtd.|Lpg/cng/png/lngsupplier|2.5|44.9|0.98|-0.39%|1.68%(Mar2020)|0%(Jun2019)|95.00k|-0.25L|MidCap|10.18|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
TitanCompanyLtd.|Gems,jewelleryandwatches|0.98|44.7|0.98|-0.18%|1.48%(Sep2019)|0.93%(Jun2019)|50.20k|0.00|LargeCap|74.12|canara-robeco-blue-chip-equity-fund-regular-plan|29-06-2020
